SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_097,,8/10/2026,11.87,7.32,4.55,9.1,9.1,4.88,4.9
DSC_098,,8/10/2026,10.76,7.32,3.44,6.88,6.9,5.17,5.16
DSC_099,,8/10/2026,11.21,7.32,3.89,7.78,7.8,5.24,5.27
DSC_102,,8/13/2026,,7.32,1.94,3.88,3.9,5.82,5.86
DSC_131,,8/10/2026,11.25,7.32,3.93,7.86,7.9,4.74,4.74
DSC_pH_blank_highmass,,8/10/2026,,,,,10.5,5.66,5.33
DSC_pH_blank_lowmass,,8/13/2026,,,,,2,5.33,5.39
SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_014,,8/11/2026,11.74,7.32,4.42,8.84,8.8,5.24,5.2
DSC_016a,,8/11/2026,10.13,7.32,2.81,5.62,5.6,4.83,4.85
DSC_025,,8/11/2026,11.46,7.32,4.14,8.28,8.3,5.11,5.12
DSC_029,,8/11/2026,11.11,7.32,3.79,7.58,7.6,4.8,4.81
DSC_033,,8/11/2026,10.52,7.32,3.2,6.4,6.4,5.02,4.9
DSC_040,,8/11/2026,11.54,7.32,4.22,8.44,8.4,4.98,4.96
DSC_046,,8/13/2026,,7.32,2,4,4,4.84,4.74
DSC_050,,8/11/2026,11.45,7.32,4.13,8.26,8.3,4.99,4.96
DSC_053,,8/13/2026,,7.32,2,4,4,4.77,4.74
DSC_072,,8/13/2026,,7.32,2,4,4,4.57,4.58
DSC_073,,8/13/2026,,7.32,1,2,2,3.58,3.6
DSC_076,,8/11/2026,12.56,7.32,5.24,10.48,10.5,5.47,5.47
DSC_077,,8/11/2026,12.03,7.32,4.71,9.42,9.4,5.34,5.39
DSC_092,,8/13/2026,,7.32,2.04,4.08,4.1,5.26,5.28
DSC_095,,8/13/2026,,7.32,1.05,2.1,2.1,4.4,4.38
DSC_096,,8/13/2026,,7.32,2,4,4,5.23,5.2
DSC_100,,8/11/2026,11.8,7.32,4.48,8.96,9,5.08,5
DSC_101,,8/11/2026,11.36,7.32,4.04,8.08,8.1,5.49,5.39
DSC_126,,8/11/2026,11.2,7.32,3.88,7.76,7.8,4.63,4.64
DSC_127,,8/11/2026,11.5,7.32,4.18,8.36,8.4,4.71,4.73
DSC_128,,8/11/2026,10.54,7.32,3.22,6.44,6.4,4.64,4.62
DSC_129,,8/11/2026,11.16,7.32,3.84,7.68,7.7,4.87,4.84
DSC_133,,8/11/2026,11.25,7.32,3.93,7.86,7.9,4.88,4.9
DSC_pH_blank_highmass,,8/11/2026,,,,,10.5,5.3,5.36
DSC_pH_blank_lowmass,,8/13/2026,,,,,2,5.33,5.39
SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_016b,,8/11/2026,11,7.32,3.68,7.36,7.4,4.97,
DSC_017,,8/11/2026,11.68,7.32,4.36,8.72,8.7,4.92,4.94
DSC_020,,8/11/2026,10.1,7.32,2.78,5.56,5.6,4.79,4.85
DSC_023,,8/13/2026,,7.32,1.94,3.88,3.9,5.61,5.63
DSC_028,,8/11/2026,10.74,7.32,3.42,6.84,6.8,4.5,4.55
DSC_031,,8/13/2026,,7.32,2,4,4,5.37,5.4
DSC_035,,8/13/2026,,7.32,1.93,3.86,3.9,5.33,5.33
DSC_036,,8/13/2026,,7.32,2,4,4,5.26,5.24
DSC_041,,8/11/2026,12.39,7.32,5.07,10.14,10.1,5.38,5.3
DSC_042,,8/11/2026,11.59,7.32,4.27,8.54,8.5,4.95,5.33
DSC_051,,8/11/2026,12.63,7.32,5.31,10.62,10.6,5.01,5.06
DSC_056,,8/11/2026,12.65,7.32,5.33,10.66,10.7,5.03,5.04
DSC_080,,8/13/2026,,7.32,2,4,4,5.3,5.28
DSC_081,,8/13/2026,,7.32,2,4,4,5.25,5.22
DSC_084,,8/13/2026,,7.32,1.95,3.9,3.9,5.95,5.93
DSC_089,,8/13/2026,,7.32,1.93,3.86,3.9,5.79,5.56
DSC_090,,8/13/2026,,7.32,1.93,3.86,3.9,5.69,5.46
DSC_093,,8/13/2026,,7.32,2,4,4,5.24,5.21
DSC_107,,8/13/2026,,7.32,2,4,4,5.19,5.16
DSC_108,,8/13/2026,,7.32,2,4,4,5.14,5.11
DSC_109,,8/13/2026,,7.32,2,4,4,5.12,5.12
DSC_110,,8/13/2026,,7.32,1.95,3.9,3.9,5.12,5.13
DSC_111,,8/13/2026,,7.32,2,4,4,5.13,5.14
DSC_132,,8/11/2026,10.45,7.32,3.13,6.26,6.3,4.83,4.86
DSC_pH_blank_highmass,,8/11/2026,,,,,10.5,5.3,5.36
DSC_pH_blank_lowmass,,8/13/2026,,,,,2,5.33,5.39
